type,AUC,AUC-ALL,top_feature,n_pcas,cb_AUC,lr_AUC,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.703615,0.703615,320,0,0.7741437632135306,0.5904016913319239,0.316,0.364,0.348,0.33,0.905,0.228,0.242,0.261,0.237,0.955,0.184,0.242,0.196,0.195,0.982
TRAIN_CV,0.720148,0.720148,330,0,0.7825581395348837,0.6043023255813953,0.338,0.333,0.413,0.353,0.905,0.279,0.333,0.304,0.293,0.955,0.206,0.273,0.261,0.228,0.982
TRAIN_CV,0.726956,0.726956,340,0,0.7768076109936575,0.6067336152219873,0.331,0.333,0.435,0.353,0.905,0.199,0.273,0.239,0.219,0.955,0.147,0.182,0.217,0.167,0.982
TRAIN_CV,0.722812,0.722812,350,0,0.7845665961945032,0.6025052854122621,0.331,0.364,0.413,0.353,0.905,0.228,0.242,0.304,0.247,0.955,0.147,0.152,0.13,0.144,0.982
TRAIN_CV,0.717992,0.717992,360,0,0.7711416490486258,0.6127272727272728,0.338,0.303,0.391,0.344,0.905,0.199,0.242,0.261,0.219,0.955,0.118,0.152,0.087,0.116,0.982
TRAIN_CV,0.729408,0.729408,370,0,0.7797251585623677,0.6185412262156449,0.309,0.364,0.435,0.344,0.905,0.243,0.273,0.261,0.251,0.955,0.118,0.182,0.152,0.135,0.982
TRAIN_CV,0.734038,0.734038,380,0,0.786046511627907,0.6192811839323467,0.39,0.364,0.457,0.4,0.905,0.265,0.303,0.239,0.265,0.955,0.191,0.242,0.196,0.2,0.982
TRAIN_CV,0.72704,0.72704,390,0,0.7658985200845666,0.6265750528541226,0.338,0.333,0.348,0.34,0.905,0.228,0.303,0.283,0.251,0.955,0.132,0.182,0.109,0.135,0.982
TRAIN_CV,0.731776,0.731776,400,0,0.778139534883721,0.6248731501057083,0.382,0.364,0.478,0.4,0.905,0.316,0.333,0.261,0.307,0.955,0.14,0.242,0.152,0.158,0.982
TRAIN_CV,0.724059,0.724059,410,0,0.7822198731501057,0.6080338266384779,0.338,0.364,0.391,0.353,0.905,0.294,0.333,0.283,0.298,0.955,0.162,0.303,0.239,0.2,0.982
TRAIN_CV,0.723383,0.723383,420,0,0.7854122621564481,0.6229175475687103,0.353,0.364,0.37,0.358,0.905,0.301,0.333,0.326,0.312,0.955,0.213,0.303,0.261,0.237,0.982
TRAIN_CV,0.729049,0.729049,430,0,0.7761945031712474,0.6317970401691332,0.324,0.394,0.413,0.353,0.905,0.294,0.333,0.326,0.307,0.955,0.162,0.242,0.217,0.186,0.982
TRAIN_CV,0.726385,0.726385,440,0,0.778181818181818,0.6284143763213532,0.375,0.364,0.413,0.381,0.905,0.257,0.303,0.261,0.265,0.955,0.191,0.273,0.196,0.205,0.982
TRAIN_CV,0.729197,0.729197,450,0,0.7779704016913318,0.642029598308668,0.353,0.394,0.457,0.381,0.905,0.25,0.333,0.261,0.265,0.955,0.199,0.273,0.217,0.214,0.982
TRAIN_CV,0.733932,0.733932,460,0,0.7852854122621564,0.646892177589852,0.36,0.394,0.413,0.377,0.905,0.287,0.333,0.261,0.288,0.955,0.213,0.242,0.217,0.219,0.982
TRAIN_CV,0.734017,0.734017,470,0,0.776384778012685,0.6550105708245243,0.375,0.394,0.304,0.363,0.905,0.265,0.273,0.239,0.26,0.955,0.25,0.273,0.217,0.247,0.982
TRAIN_CV,0.742093,0.742093,480,0,0.7800634249471459,0.6600211416490487,0.39,0.394,0.391,0.391,0.905,0.25,0.333,0.239,0.26,0.955,0.154,0.242,0.174,0.172,0.982
TRAIN_CV,0.736406,0.736406,490,0,0.7736575052854122,0.6626849894291754,0.353,0.333,0.37,0.353,0.905,0.265,0.333,0.239,0.27,0.955,0.228,0.273,0.196,0.228,0.982
TRAIN_CV,0.736575,0.736575,500,0,0.7774207188160677,0.6582029598308667,0.353,0.364,0.413,0.367,0.905,0.279,0.333,0.304,0.293,0.955,0.206,0.333,0.196,0.223,0.982
TRAIN_CV,0.746956,0.746956,510,0,0.7931501057082453,0.6627484143763214,0.397,0.424,0.391,0.4,0.905,0.265,0.364,0.304,0.288,0.955,0.199,0.303,0.174,0.209,0.982
TRAIN_CV,0.744271,0.744271,520,0,0.7845454545454545,0.6720084566596194,0.39,0.333,0.37,0.377,0.905,0.257,0.333,0.304,0.279,0.955,0.206,0.273,0.196,0.214,0.982
TRAIN_CV,0.743827,0.743827,530,0,0.7842071881606765,0.6705708245243128,0.404,0.364,0.37,0.391,0.905,0.265,0.333,0.283,0.279,0.955,0.213,0.273,0.239,0.228,0.982
TRAIN_CV,0.756871,0.756871,540,0,0.8032346723044398,0.6773361522198731,0.441,0.364,0.457,0.433,0.905,0.331,0.333,0.304,0.326,0.955,0.191,0.333,0.239,0.223,0.982
TRAIN_CV,0.751163,0.751163,550,0,0.7976532769556026,0.6721564482029597,0.434,0.394,0.457,0.433,0.905,0.294,0.333,0.37,0.316,0.955,0.169,0.242,0.217,0.191,0.982
TRAIN_CV,0.754271,0.754271,560,0,0.8036786469344608,0.676892177589852,0.397,0.485,0.457,0.423,0.905,0.324,0.364,0.391,0.344,0.955,0.221,0.333,0.217,0.237,0.982
TRAIN_CV,0.754397,0.754397,570,0,0.8023890063424948,0.6786046511627907,0.412,0.485,0.457,0.433,0.905,0.25,0.333,0.283,0.27,0.955,0.176,0.303,0.217,0.205,0.982
TRAIN_CV,0.753383,0.753383,580,0,0.8012262156448203,0.6768498942917548,0.375,0.424,0.413,0.391,0.905,0.301,0.333,0.37,0.321,0.955,0.213,0.303,0.261,0.237,0.982
TRAIN_CV,0.751416,0.751416,590,0,0.801247357293869,0.6744820295983087,0.382,0.455,0.435,0.405,0.905,0.287,0.303,0.261,0.284,0.955,0.199,0.273,0.196,0.209,0.982
TRAIN_CV,0.756004,0.756004,600,0,0.8034460887949259,0.6761733615221988,0.397,0.424,0.391,0.4,0.905,0.36,0.424,0.348,0.367,0.955,0.243,0.303,0.239,0.251,0.982
TRAIN_CV,0.75482,0.75482,610,0,0.803953488372093,0.6816279069767441,0.419,0.515,0.435,0.437,0.905,0.309,0.394,0.326,0.326,0.955,0.243,0.303,0.261,0.256,0.982
TRAIN_CV,0.769049,0.769049,620,0,0.8232980972515855,0.6843974630021141,0.478,0.455,0.37,0.451,0.905,0.39,0.394,0.37,0.386,0.955,0.213,0.303,0.217,0.228,0.982
TRAIN_CV,0.768964,0.768964,630,0,0.8226638477801269,0.686046511627907,0.478,0.545,0.457,0.484,0.905,0.404,0.455,0.37,0.405,0.955,0.169,0.273,0.217,0.195,0.982
TRAIN_CV,0.768541,0.768541,640,0,0.8213953488372093,0.691585623678647,0.449,0.485,0.457,0.456,0.905,0.368,0.333,0.37,0.363,0.955,0.221,0.303,0.261,0.242,0.982
TRAIN_CV,0.775983,0.775983,650,0,0.8287737843551797,0.6981818181818182,0.485,0.515,0.457,0.484,0.905,0.368,0.394,0.348,0.367,0.955,0.243,0.273,0.261,0.251,0.982
TRAIN_CV,0.782685,0.782685,660,0,0.8270824524312894,0.7060042283298097,0.515,0.515,0.478,0.507,0.905,0.353,0.424,0.37,0.367,0.955,0.184,0.212,0.196,0.191,0.982
TRAIN_CV,0.780233,0.780233,670,0,0.8189640591966172,0.7131923890063426,0.449,0.485,0.435,0.451,0.905,0.353,0.364,0.391,0.363,0.955,0.191,0.303,0.261,0.223,0.982
TRAIN_CV,0.786596,0.786596,680,0,0.8320718816067653,0.7140169133192389,0.5,0.545,0.478,0.502,0.905,0.397,0.364,0.413,0.395,0.955,0.279,0.333,0.304,0.293,0.982
TRAIN_CV,0.789514,0.789514,690,0,0.8318604651162791,0.7160676532769557,0.522,0.515,0.543,0.526,0.905,0.309,0.364,0.37,0.33,0.955,0.228,0.333,0.217,0.242,0.982
TRAIN_CV,0.797167,0.797167,700,0,0.8438054968287527,0.7213953488372091,0.551,0.545,0.457,0.53,0.905,0.39,0.394,0.348,0.381,0.955,0.279,0.273,0.304,0.284,0.982
TRAIN_CV,0.799323,0.799323,710,0,0.8399365750528541,0.7241649048625793,0.551,0.576,0.5,0.544,0.905,0.382,0.424,0.391,0.391,0.955,0.221,0.333,0.304,0.256,0.982
TRAIN_CV,0.799239,0.799239,720,0,0.8324947145877378,0.7276744186046511,0.544,0.576,0.478,0.535,0.905,0.353,0.394,0.435,0.377,0.955,0.221,0.303,0.261,0.242,0.982
TRAIN_CV,0.794292,0.794292,730,0,0.8218604651162791,0.7320084566596194,0.515,0.545,0.457,0.507,0.905,0.353,0.303,0.37,0.349,0.955,0.235,0.273,0.283,0.251,0.982
TRAIN_CV,0.802156,0.802156,740,0,0.8335729386892178,0.7324101479915432,0.537,0.515,0.478,0.521,0.905,0.382,0.424,0.413,0.395,0.955,0.213,0.273,0.283,0.237,0.982
TRAIN_CV,0.801987,0.801987,750,0,0.8329386892177588,0.7315856236786469,0.529,0.545,0.457,0.516,0.905,0.353,0.333,0.391,0.358,0.955,0.184,0.242,0.261,0.209,0.982
TRAIN_CV,0.8037,0.8037,760,0,0.8393868921775898,0.7312473572938689,0.537,0.576,0.457,0.526,0.905,0.449,0.455,0.435,0.447,0.955,0.265,0.394,0.37,0.307,0.982
TRAIN_CV,0.804736,0.804736,770,0,0.8423467230443973,0.7291543340380551,0.515,0.545,0.5,0.516,0.905,0.397,0.424,0.435,0.409,0.955,0.309,0.303,0.348,0.316,0.982
TRAIN_CV,0.801839,0.801839,780,0,0.8444608879492601,0.7313530655391121,0.537,0.576,0.522,0.54,0.905,0.426,0.455,0.435,0.433,0.955,0.265,0.333,0.283,0.279,0.982
TRAIN_CV,0.803277,0.803277,790,0,0.8394291754756871,0.7352431289640591,0.522,0.545,0.522,0.526,0.905,0.404,0.455,0.413,0.414,0.955,0.301,0.333,0.283,0.302,0.982
TRAIN_CV,0.805729,0.805729,800,0,0.8390486257928118,0.7379915433403805,0.537,0.545,0.522,0.535,0.905,0.426,0.394,0.457,0.428,0.955,0.309,0.333,0.413,0.335,0.982
TRAIN_CV,0.806047,0.806047,810,0,0.8309936575052854,0.7420718816067653,0.471,0.545,0.478,0.484,0.905,0.346,0.424,0.478,0.386,0.955,0.199,0.212,0.217,0.205,0.982
TRAIN_CV,0.810254,0.810254,820,0,0.8321775898520085,0.7456871035940804,0.529,0.606,0.522,0.54,0.905,0.397,0.485,0.413,0.414,0.955,0.154,0.273,0.261,0.195,0.982
TRAIN_CV,0.832452,0.832452,830,0,0.8520295983086681,0.7589217758985201,0.574,0.606,0.565,0.577,0.905,0.331,0.394,0.413,0.358,0.955,0.287,0.364,0.37,0.316,0.982
TRAIN_CV,0.827188,0.827188,840,0,0.8468498942917546,0.7591754756871036,0.522,0.576,0.543,0.535,0.905,0.368,0.485,0.457,0.405,0.955,0.272,0.394,0.37,0.312,0.982
TRAIN_CV,0.829979,0.829979,850,0,0.8489217758985202,0.7611205073995772,0.529,0.576,0.543,0.54,0.905,0.353,0.485,0.457,0.395,0.955,0.257,0.394,0.435,0.316,0.982
TRAIN_CV,0.822495,0.822495,860,0,0.8376321353065539,0.762367864693446,0.493,0.545,0.522,0.507,0.905,0.368,0.424,0.413,0.386,0.955,0.279,0.303,0.348,0.298,0.982
TRAIN_CV,0.830951,0.830951,870,0,0.8479492600422833,0.7684566596194502,0.522,0.576,0.565,0.54,0.905,0.375,0.455,0.457,0.405,0.955,0.287,0.333,0.391,0.316,0.982
TRAIN_CV,0.837822,0.837822,880,0,0.8529598308668076,0.772262156448203,0.493,0.576,0.522,0.512,0.905,0.397,0.515,0.478,0.433,0.955,0.272,0.364,0.348,0.302,0.982
TRAIN_CV,0.841459,0.841459,890,0,0.8541014799154334,0.7771035940803384,0.566,0.576,0.565,0.567,0.905,0.426,0.485,0.5,0.451,0.955,0.294,0.364,0.37,0.321,0.982
TRAIN_CV,0.841586,0.841586,900,0,0.8517758985200846,0.7789217758985201,0.551,0.606,0.565,0.563,0.905,0.404,0.485,0.413,0.419,0.955,0.287,0.364,0.348,0.312,0.982
TRAIN_CV,0.848076,0.848076,910,0,0.8597885835095136,0.7811839323467229,0.603,0.606,0.543,0.591,0.905,0.456,0.485,0.522,0.474,0.955,0.309,0.364,0.326,0.321,0.982
TRAIN_CV,0.852008,0.852008,920,0,0.8603171247357294,0.7867441860465115,0.574,0.606,0.587,0.581,0.905,0.397,0.455,0.522,0.433,0.955,0.346,0.455,0.5,0.395,0.982
TRAIN_CV,0.846744,0.846744,930,0,0.8550528541226216,0.7850739957716704,0.551,0.606,0.565,0.563,0.905,0.404,0.424,0.478,0.423,0.955,0.324,0.364,0.457,0.358,0.982
TRAIN_CV,0.853277,0.853277,940,0,0.8646300211416492,0.7868921775898519,0.574,0.576,0.565,0.572,0.905,0.434,0.515,0.543,0.47,0.955,0.294,0.273,0.391,0.312,0.982
TRAIN_CV,0.849112,0.849112,950,0,0.8587315010570824,0.7880549682875264,0.5,0.545,0.543,0.516,0.905,0.412,0.455,0.522,0.442,0.955,0.382,0.455,0.435,0.405,0.982
TRAIN_CV,0.850846,0.850846,960,0,0.8539323467230445,0.7924524312896407,0.559,0.515,0.522,0.544,0.905,0.397,0.424,0.478,0.419,0.955,0.324,0.303,0.391,0.335,0.982
TRAIN_CV,0.850761,0.850761,970,0,0.8548625792811839,0.7934672304439747,0.581,0.455,0.587,0.563,0.905,0.426,0.455,0.543,0.456,0.955,0.279,0.303,0.413,0.312,0.982
TRAIN_CV,0.854947,0.854947,980,0,0.8592177589852007,0.7961945031712474,0.5,0.515,0.543,0.512,0.905,0.426,0.455,0.5,0.447,0.955,0.287,0.394,0.413,0.33,0.982
TRAIN_CV,0.856575,0.856575,990,0,0.8608456659619451,0.7983298097251585,0.515,0.545,0.543,0.526,0.905,0.412,0.424,0.478,0.428,0.955,0.324,0.394,0.413,0.353,0.982
TRAIN_CV,0.856934,0.856934,1000,0,0.8580338266384778,0.8011627906976744,0.603,0.515,0.63,0.595,0.905,0.397,0.455,0.478,0.423,0.955,0.316,0.333,0.391,0.335,0.982
