type,AUC,AUC-ALL,top_feature,n_pcas,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.932262,0.932262,1000,50,0.816,0.848,0.87,0.833,0.905,0.618,0.606,0.739,0.642,0.955,0.529,0.606,0.609,0.558,0.982
TRAIN_CV,0.822495,0.822495,1000,10,0.537,0.545,0.565,0.544,0.905,0.419,0.515,0.478,0.447,0.955,0.375,0.394,0.37,0.377,0.982
TRAIN_CV,0.919197,0.919197,1000,20,0.757,0.758,0.826,0.772,0.905,0.581,0.606,0.674,0.605,0.955,0.449,0.485,0.609,0.488,0.982
TRAIN_CV,0.926829,0.926829,1000,30,0.787,0.758,0.826,0.791,0.905,0.632,0.636,0.696,0.647,0.955,0.478,0.545,0.587,0.512,0.982
TRAIN_CV,0.923129,0.923129,1000,40,0.787,0.727,0.804,0.781,0.905,0.603,0.606,0.739,0.633,0.955,0.441,0.485,0.587,0.479,0.982
TRAIN_CV,0.932262,0.932262,1000,50,0.816,0.848,0.87,0.833,0.905,0.618,0.606,0.739,0.642,0.955,0.529,0.606,0.609,0.558,0.982
TRAIN_CV,0.924672,0.924672,1000,60,0.787,0.818,0.848,0.805,0.905,0.662,0.636,0.761,0.679,0.955,0.5,0.545,0.587,0.526,0.982
TRAIN_CV,0.810317,0.810317,100,10,0.529,0.515,0.587,0.54,0.905,0.419,0.333,0.435,0.409,0.955,0.243,0.273,0.239,0.247,0.982
TRAIN_CV,0.7974,0.7974,200,10,0.507,0.485,0.587,0.521,0.905,0.426,0.394,0.413,0.419,0.955,0.353,0.364,0.37,0.358,0.982
TRAIN_CV,0.797463,0.797463,300,10,0.478,0.515,0.5,0.488,0.905,0.287,0.333,0.37,0.312,0.955,0.228,0.273,0.326,0.256,0.982
TRAIN_CV,0.822896,0.822896,400,10,0.537,0.576,0.587,0.553,0.905,0.412,0.485,0.5,0.442,0.955,0.235,0.182,0.239,0.228,0.982
TRAIN_CV,0.848161,0.848161,500,10,0.64,0.515,0.63,0.619,0.905,0.441,0.455,0.5,0.456,0.955,0.309,0.424,0.413,0.349,0.982
TRAIN_CV,0.867865,0.867865,600,10,0.713,0.636,0.717,0.702,0.905,0.515,0.545,0.587,0.535,0.955,0.375,0.424,0.457,0.4,0.982
TRAIN_CV,0.861501,0.861501,700,10,0.618,0.636,0.739,0.647,0.905,0.515,0.485,0.609,0.53,0.955,0.382,0.394,0.391,0.386,0.982
TRAIN_CV,0.833256,0.833256,800,10,0.529,0.606,0.587,0.553,0.905,0.426,0.485,0.435,0.437,0.955,0.368,0.455,0.348,0.377,0.982
TRAIN_CV,0.813002,0.813002,900,10,0.559,0.576,0.565,0.563,0.905,0.441,0.455,0.435,0.442,0.955,0.338,0.394,0.326,0.344,0.982
TRAIN_CV,0.822495,0.822495,1000,10,0.537,0.545,0.565,0.544,0.905,0.419,0.515,0.478,0.447,0.955,0.375,0.394,0.37,0.377,0.982
TRAIN_CV,0.821712,0.821712,100,20,0.507,0.424,0.652,0.526,0.905,0.375,0.303,0.543,0.4,0.955,0.257,0.303,0.304,0.274,0.982
TRAIN_CV,0.82759,0.82759,200,20,0.551,0.394,0.674,0.553,0.905,0.397,0.364,0.522,0.419,0.955,0.169,0.182,0.174,0.172,0.982
TRAIN_CV,0.84,0.84,300,20,0.566,0.515,0.674,0.581,0.905,0.419,0.394,0.587,0.451,0.955,0.272,0.273,0.413,0.302,0.982
TRAIN_CV,0.84296,0.84296,400,20,0.566,0.545,0.696,0.591,0.905,0.471,0.515,0.565,0.498,0.955,0.324,0.364,0.435,0.353,0.982
TRAIN_CV,0.874799,0.874799,500,20,0.654,0.576,0.717,0.656,0.905,0.485,0.455,0.587,0.502,0.955,0.397,0.364,0.5,0.414,0.982
TRAIN_CV,0.893235,0.893235,600,20,0.75,0.636,0.717,0.726,0.905,0.588,0.455,0.587,0.567,0.955,0.485,0.394,0.565,0.488,0.982
TRAIN_CV,0.910973,0.910973,700,20,0.772,0.697,0.783,0.763,0.905,0.625,0.485,0.63,0.605,0.955,0.412,0.424,0.565,0.447,0.982
TRAIN_CV,0.908732,0.908732,800,20,0.713,0.758,0.761,0.73,0.905,0.669,0.576,0.674,0.656,0.955,0.419,0.424,0.478,0.433,0.982
TRAIN_CV,0.912833,0.912833,900,20,0.743,0.697,0.804,0.749,0.905,0.647,0.485,0.739,0.642,0.955,0.316,0.303,0.435,0.34,0.982
TRAIN_CV,0.919197,0.919197,1000,20,0.757,0.758,0.826,0.772,0.905,0.581,0.606,0.674,0.605,0.955,0.449,0.485,0.609,0.488,0.982
TRAIN_CV,0.818457,0.818457,100,30,0.537,0.455,0.652,0.549,0.905,0.316,0.333,0.5,0.358,0.955,0.228,0.303,0.304,0.256,0.982
TRAIN_CV,0.82167,0.82167,200,30,0.471,0.333,0.63,0.484,0.905,0.397,0.303,0.609,0.428,0.955,0.331,0.303,0.522,0.367,0.982
TRAIN_CV,0.840211,0.840211,300,30,0.588,0.485,0.696,0.595,0.905,0.463,0.455,0.63,0.498,0.955,0.309,0.424,0.5,0.367,0.982
TRAIN_CV,0.859302,0.859302,400,30,0.632,0.636,0.739,0.656,0.905,0.529,0.545,0.609,0.549,0.955,0.39,0.424,0.522,0.423,0.982
TRAIN_CV,0.894461,0.894461,500,30,0.735,0.667,0.783,0.735,0.905,0.603,0.545,0.717,0.619,0.955,0.331,0.333,0.587,0.386,0.982
TRAIN_CV,0.898562,0.898562,600,30,0.765,0.667,0.761,0.749,0.905,0.654,0.515,0.761,0.656,0.955,0.338,0.303,0.543,0.377,0.982
TRAIN_CV,0.912833,0.912833,700,30,0.779,0.697,0.783,0.767,0.905,0.632,0.606,0.652,0.633,0.955,0.36,0.424,0.565,0.414,0.982
TRAIN_CV,0.9174,0.9174,800,30,0.757,0.788,0.804,0.772,0.905,0.603,0.485,0.717,0.609,0.955,0.434,0.424,0.587,0.465,0.982
TRAIN_CV,0.918266,0.918266,900,30,0.801,0.667,0.848,0.791,0.905,0.603,0.576,0.717,0.623,0.955,0.434,0.394,0.63,0.47,0.982
TRAIN_CV,0.926829,0.926829,1000,30,0.787,0.758,0.826,0.791,0.905,0.632,0.636,0.696,0.647,0.955,0.478,0.545,0.587,0.512,0.982
TRAIN_CV,0.817526,0.817526,100,40,0.507,0.424,0.674,0.53,0.905,0.272,0.333,0.391,0.307,0.955,0.213,0.303,0.261,0.237,0.982
TRAIN_CV,0.81981,0.81981,200,40,0.551,0.394,0.63,0.544,0.905,0.426,0.303,0.587,0.442,0.955,0.228,0.242,0.413,0.27,0.982
TRAIN_CV,0.853256,0.853256,300,40,0.596,0.545,0.717,0.614,0.905,0.426,0.455,0.652,0.479,0.955,0.235,0.364,0.522,0.316,0.982
